Chr	Contig	Contig length	Window	Start	End	Window length	Number of filtered sites	Number of SNPs
2L	NW_023496801.1	249963	0	1	232074	232074	125000	61574
3R	NW_023496818.1	268192	0	1	218428	218428	125000	80245
2R	NW_023496805.1	442295	0	1	393895	393895	125000	61329
3L	NW_023496815.1	733197	0	1	601219	601219	125000	75208
2R	NW_023496804.1	524097	0	1	303048	303048	125000	62316
2R	NW_023496804.1	524097	1	303049	510963	207915	125000	65089
X	NW_023496847.1	653633	0	1	241655	241655	125000	78784
X	NW_023496847.1	653633	1	241656	433197	191542	125000	80349
2R	NW_023496809.1	942459	0	1	355733	355733	125000	62888
2R	NW_023496809.1	942459	1	355734	646742	291009	125000	61275
2R	NW_023496809.1	942459	2	646743	888662	241920	125000	61171
3R	NW_023496832.1	1208887	0	1	735363	735363	125000	64705
3R	NW_023496832.1	1208887	1	735364	905583	170220	125000	82734
3R	NW_023496832.1	1208887	2	905584	1083954	178371	125000	83042
3R	NW_023496834.1	977254	0	1	171712	171712	125000	84803
3R	NW_023496834.1	977254	1	171713	444283	272571	125000	83358
3R	NW_023496834.1	977254	2	444284	610811	166528	125000	80833
3R	NW_023496834.1	977254	3	610812	840652	229841	125000	79604
X	NW_023496844.1	1589149	0	1	215099	215099	125000	62402
X	NW_023496844.1	1589149	1	215100	390511	175412	125000	59892
X	NW_023496844.1	1589149	2	390512	588459	197948	125000	60287
X	NW_023496844.1	1589149	3	588460	1017847	429388	125000	62502
2L	NW_023496803.1	1369652	0	1	346543	346543	125000	61835
2L	NW_023496803.1	1369652	1	346544	561045	214502	125000	63756
2L	NW_023496803.1	1369652	2	561046	758331	197286	125000	65420
2L	NW_023496803.1	1369652	3	758332	989961	231630	125000	69045
2L	NW_023496803.1	1369652	4	989962	1217360	227399	125000	63988
3R	NW_023496833.1	1087214	0	1	187732	187732	125000	86273
3R	NW_023496833.1	1087214	1	187733	380078	192346	125000	79005
3R	NW_023496833.1	1087214	2	380079	562702	182624	125000	78579
3R	NW_023496833.1	1087214	3	562703	739313	176611	125000	80590
3R	NW_023496833.1	1087214	4	739314	923790	184477	125000	83262
3R	NW_023496824.1	1833005	0	1	355389	355389	125000	65647
3R	NW_023496824.1	1833005	1	355390	597707	242318	125000	69120
3R	NW_023496824.1	1833005	2	597708	795713	198006	125000	70625
3R	NW_023496824.1	1833005	3	795714	1468339	672626	125000	67672
3R	NW_023496828.1	1609687	0	1	417524	417524	125000	76332
3R	NW_023496828.1	1609687	1	417525	585157	167633	125000	81053
3R	NW_023496828.1	1609687	2	585158	769753	184596	125000	80016
3R	NW_023496828.1	1609687	3	769754	939864	170111	125000	79054
3R	NW_023496828.1	1609687	4	939865	1128489	188625	125000	78689
