Chr	Contig	Contig length	Window	Start	End	Window length	Number of filtered sites	Number of SNPs
X	NW_023496846.1	6492416	0	3571436	3573679	2244	1000	682
X	NW_023496846.1	6492416	1	3573680	3575221	1542	1000	485
X	NW_023496846.1	6492416	2	3575222	3576336	1115	1000	511
X	NW_023496846.1	6492416	3	3576337	3578152	1816	1000	540
X	NW_023496846.1	6492416	4	3578153	3579746	1594	1000	676
X	NW_023496846.1	6492416	5	3579747	3581468	1722	1000	586
X	NW_023496846.1	6492416	6	3581469	3582687	1219	1000	626
X	NW_023496846.1	6492416	7	3582688	3583854	1167	1000	667
X	NW_023496846.1	6492416	8	3583855	3585142	1288	1000	673
X	NW_023496846.1	6492416	9	3585143	3586218	1076	1000	539
X	NW_023496846.1	6492416	10	3586219	3587719	1501	1000	630
X	NW_023496846.1	6492416	11	3587720	3589134	1415	1000	647
X	NW_023496846.1	6492416	12	3589135	3590329	1195	1000	642
X	NW_023496846.1	6492416	13	3590330	3592107	1778	1000	668
X	NW_023496846.1	6492416	14	3592108	3593490	1383	1000	718
X	NW_023496846.1	6492416	15	3593491	3595523	2033	1000	725
X	NW_023496846.1	6492416	16	3595524	3596825	1302	1000	711
X	NW_023496846.1	6492416	17	3596826	3598446	1621	1000	589
X	NW_023496846.1	6492416	18	3598447	3600500	2054	1000	668
X	NW_023496846.1	6492416	19	3600501	3602302	1802	1000	657
X	NW_023496846.1	6492416	20	3602303	3603671	1369	1000	702
X	NW_023496846.1	6492416	21	3603672	3605397	1726	1000	577
X	NW_023496846.1	6492416	22	3605398	3606743	1346	1000	668
X	NW_023496846.1	6492416	23	3606744	3607974	1231	1000	564
X	NW_023496846.1	6492416	24	3607975	3609271	1297	1000	699
X	NW_023496846.1	6492416	25	3609272	3610590	1319	1000	599
X	NW_023496846.1	6492416	26	3610591	3612578	1988	1000	626
X	NW_023496846.1	6492416	27	3612579	3613726	1148	1000	658
X	NW_023496846.1	6492416	28	3613727	3614961	1235	1000	576
X	NW_023496846.1	6492416	29	3614962	3616269	1308	1000	536
X	NW_023496846.1	6492416	30	3616270	3617345	1076	1000	538
X	NW_023496846.1	6492416	31	3617346	3618387	1042	1000	527
X	NW_023496846.1	6492416	32	3618388	3619563	1176	1000	609
X	NW_023496846.1	6492416	33	3619564	3621155	1592	1000	652
X	NW_023496846.1	6492416	34	3621156	3622334	1179	1000	596
X	NW_023496846.1	6492416	35	3622335	3623493	1159	1000	615
X	NW_023496846.1	6492416	36	3623494	3624872	1379	1000	633
X	NW_023496846.1	6492416	37	3624873	3626255	1383	1000	546
X	NW_023496846.1	6492416	38	3626256	3627310	1055	1000	510
X	NW_023496846.1	6492416	39	3627311	3628433	1123	1000	467
X	NW_023496846.1	6492416	40	3628434	3629694	1261	1000	483
X	NW_023496846.1	6492416	41	3629695	3630829	1135	1000	579
X	NW_023496846.1	6492416	42	3630830	3631871	1042	1000	552
X	NW_023496846.1	6492416	43	3631872	3633240	1369	1000	567
X	NW_023496846.1	6492416	44	3633241	3634430	1190	1000	526
X	NW_023496846.1	6492416	45	3634431	3635482	1052	1000	547
X	NW_023496846.1	6492416	46	3635483	3636777	1295	1000	570
X	NW_023496846.1	6492416	47	3636778	3637932	1155	1000	652
X	NW_023496846.1	6492416	48	3637933	3638979	1047	1000	480
X	NW_023496846.1	6492416	49	3638980	3640116	1137	1000	539
X	NW_023496846.1	6492416	50	3640117	3641236	1120	1000	567
X	NW_023496846.1	6492416	51	3641237	3642275	1039	1000	501
X	NW_023496846.1	6492416	52	3642276	3643315	1040	1000	510
X	NW_023496846.1	6492416	53	3643316	3644409	1094	1000	542
X	NW_023496846.1	6492416	54	3644410	3645683	1274	1000	519
X	NW_023496846.1	6492416	55	3645684	3646696	1013	1000	525
X	NW_023496846.1	6492416	56	3646697	3647946	1250	1000	608
X	NW_023496846.1	6492416	57	3647947	3649198	1252	1000	528
X	NW_023496846.1	6492416	58	3649199	3650406	1208	1000	457
X	NW_023496846.1	6492416	59	3650407	3651449	1043	1000	491
X	NW_023496846.1	6492416	60	3651450	3652558	1109	1000	504
X	NW_023496846.1	6492416	61	3652559	3653756	1198	1000	507
X	NW_023496846.1	6492416	62	3653757	3655253	1497	1000	518
X	NW_023496846.1	6492416	63	3655254	3656312	1059	1000	523
X	NW_023496846.1	6492416	64	3656313	3657711	1399	1000	597
X	NW_023496846.1	6492416	65	3657712	3659032	1321	1000	503
X	NW_023496846.1	6492416	66	3659033	3660110	1078	1000	544
X	NW_023496846.1	6492416	67	3660111	3661147	1037	1000	554
X	NW_023496846.1	6492416	68	3661148	3662369	1222	1000	539
X	NW_023496846.1	6492416	69	3662370	3663385	1016	1000	510
X	NW_023496846.1	6492416	70	3663386	3665259	1874	1000	490
X	NW_023496846.1	6492416	71	3665260	3666451	1192	1000	620
X	NW_023496846.1	6492416	72	3666452	3667647	1196	1000	620
X	NW_023496846.1	6492416	73	3667648	3670310	2663	1000	476
X	NW_023496846.1	6492416	74	3670311	3671881	1571	1000	445
X	NW_023496846.1	6492416	75	3671882	3673362	1481	1000	453
X	NW_023496846.1	6492416	76	3673363	3675032	1670	1000	500
X	NW_023496846.1	6492416	77	3675033	3676604	1572	1000	580
X	NW_023496846.1	6492416	78	3676605	3677938	1334	1000	568
X	NW_023496846.1	6492416	79	3677939	3679018	1080	1000	559
X	NW_023496846.1	6492416	80	3679019	3680404	1386	1000	496
X	NW_023496846.1	6492416	81	3680405	3681471	1067	1000	506
X	NW_023496846.1	6492416	82	3681472	3749200	67729	1000	579
X	NW_023496846.1	6492416	83	3749201	3751269	2069	1000	518
X	NW_023496846.1	6492416	84	3751270	3752317	1048	1000	541
X	NW_023496846.1	6492416	85	3752318	3753550	1233	1000	514
X	NW_023496846.1	6492416	86	3753551	3755336	1786	1000	537
X	NW_023496846.1	6492416	87	3755337	3756485	1149	1000	521
X	NW_023496846.1	6492416	88	3756486	3757657	1172	1000	627
X	NW_023496846.1	6492416	89	3757658	3758815	1158	1000	560
X	NW_023496846.1	6492416	90	3758816	3759910	1095	1000	698
X	NW_023496846.1	6492416	91	3759911	3761157	1247	1000	650
X	NW_023496846.1	6492416	92	3761158	3762694	1537	1000	646
X	NW_023496846.1	6492416	93	3762695	3764234	1540	1000	609
X	NW_023496846.1	6492416	94	3764235	3765359	1125	1000	615
X	NW_023496846.1	6492416	95	3765360	3766621	1262	1000	475
X	NW_023496846.1	6492416	96	3766622	3767732	1111	1000	544
X	NW_023496846.1	6492416	97	3767733	3768989	1257	1000	622
X	NW_023496846.1	6492416	98	3768990	3770825	1836	1000	688
X	NW_023496846.1	6492416	99	3770826	3772360	1535	1000	660
X	NW_023496846.1	6492416	100	3772361	3773544	1184	1000	533
X	NW_023496846.1	6492416	101	3773545	3774662	1118	1000	582
X	NW_023496846.1	6492416	102	3774663	3775723	1061	1000	603
X	NW_023496846.1	6492416	103	3775724	3777055	1332	1000	593
X	NW_023496846.1	6492416	104	3777056	3778137	1082	1000	620
X	NW_023496846.1	6492416	105	3778138	3779728	1591	1000	680
X	NW_023496846.1	6492416	106	3779729	3780857	1129	1000	633
