Chromosomal arm	Contig	Window	Gene ID	Gene Symbol	Flybase ID	Description
2L	NW_023496800.1	36	108009656	CG13123	FBgn0032150	transcription factor E4F1
2L	NW_023496800.1	36	108008288	CG4036	FBgn0032149	alpha-ketoglutarate-dependent dioxygenase alkB homolog 4
2L	NW_023496800.1	36	108021487	IP3K1	FBgn0032147	inositol-trisphosphate 3-kinase homolog isoform X1
2L	NW_023496800.1	36	108016906	ppk11	FBgn0065109	pickpocket protein 11
2L	NW_023496800.1	36	108013411	ppk16	FBgn0065108	sodium channel protein Nach
2L	NW_023496800.1	36	108021072	ppk18	FBgn0265001	sodium channel protein Nach
2L	NW_023496800.1	36	108021070	CG17633	FBgn0032144	zinc carboxypeptidase A 1
2L	NW_023496800.1	36	108021071	CG4017	FBgn0032143	zinc carboxypeptidase
2L	NW_023496800.1	36	108021069	und	FBgn0283478	methionine aminopeptidase 2
2L	NW_023496800.1	36	108009116	Taf11	FBgn0011291	transcription initiation factor TFIID subunit 11
2L	NW_023496800.1	36	108021360	zf30C	FBgn0270924	gastrula zinc finger protein xFG20-1
2L	NW_023496800.1	36	108005397	Cyp4e3	FBgn0015035	cytochrome P450 4e3
2L	NW_023496800.1	36	108015667	Nckx30C	FBgn0028704	sodium/potassium/calcium exchanger Nckx30C isoform X1
2L	NW_023496800.1	36	108015733	CG13117	FBgn0032140	uncharacterized protein LOC108015733
2L	NW_023496800.1	36	108015724	CG13116	FBgn0032139	uncharacterized protein LOC108015724
2L	NW_023496800.1	36	108020354	CG4364	FBgn0032138	pescadillo homolog
2L	NW_023496800.1	36	108020335	pelo	FBgn0011207	protein pelota
2L	NW_023496800.1	36	108020337	CG31710	FBgn0051710	uncharacterized protein LOC108020337 isoform X1
2L	NW_023496800.1	36	108009177	hoip	FBgn0286786	NHP2-like protein 1 homolog
2L	NW_023496800.1	36	108019875	Pka-C1	FBgn0000273	cAMP-dependent protein kinase catalytic subunit 1
2R	NW_023496807.1	49	108010128	luna	FBgn0040765	Krueppel-like factor luna
2R	NW_023496807.1	49	108010129	CG43188	FBgn0262817	uncharacterized protein LOC108010129
2R	NW_023496808.1	41	108019555	Cpr50Ca	FBgn0033867	uncharacterized protein LOC108019555
2R	NW_023496808.1	41	108019638	S-Lap7	FBgn0033868	cytosol aminopeptidase
2R	NW_023496808.1	41	108019682	Cpr50Cb	FBgn0033869	pro-resilin
2R	NW_023496808.1	41	108019835	stj	FBgn0261041	voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X5
2R	NW_023496808.1	41	108019872	fl(2)d	FBgn0000662	pre-mRNA-splicing regulator female-lethal(2)D isoform X1
2R	NW_023496808.1	41	108019649	CG13339	FBgn0033871	uncharacterized protein LOC108019649
2R	NW_023496808.1	41	108019873	CG6329	FBgn0033872	uncharacterized protein LOC108019873
2R	NW_023496808.1	41	108019640	CG6337	FBgn0033873	zingipain-1
2R	NW_023496808.1	41	108019639	CG6347	FBgn0033874	procathepsin L
2R	NW_023496808.1	41	108019774	CG6357	FBgn0033875	uncharacterized protein LOC108019774
2R	NW_023496808.1	41	108019777	Syngr	FBgn0033876	synaptogyrin
2R	NW_023496808.1	41	108019773	CG30484	FBgn0050484	uncharacterized protein LOC108019773 isoform X1
2R	NW_023496808.1	41	108019772	CG30485	FBgn0050485	uncharacterized protein LOC108019772
2R	NW_023496808.1	41	108019775	Echs1	FBgn0033879	probable enoyl-CoA hydratase, mitochondrial
2R	NW_023496808.1	41	108019776	CG6553	FBgn0033880	modular serine protease
2R	NW_023496808.1	41	108019620	tum	FBgn0086356	rac GTPase-activating protein 1
2R	NW_023496808.1	41	108019854	Uba3	FBgn0263697	nedd8-activating enzyme E1 catalytic subunit
2R	NW_023496808.1	41	108019856	CG16935	FBgn0033883	enoyl-[acyl-carrier-protein] reductase, mitochondrial
2R	NW_023496808.1	41	108019855	CG13344	FBgn0033884	E3 ubiquitin-protein ligase RNF25
3R	NW_023496835.1	5	108007796	Ir94h	FBgn0039080	uncharacterized protein LOC108007796
3R	NW_023496835.1	5	108007797	Ir94g	FBgn0039079	uncharacterized protein LOC108007797
3R	NW_023496835.1	5	108007795	Ir94f	FBgn0051225	uncharacterized protein LOC108007795
3R	NW_023496835.1	5	108007800	CG4374	FBgn0039078	zinc finger protein 853
3R	NW_023496835.1	5	108007801	CG43694	FBgn0263777	LOW QUALITY PROTEIN: uncharacterized protein LOC108007801
3R	NW_023496835.1	5	108007783	Ir94e	FBgn0259194	uncharacterized protein LOC108007783
3R	NW_023496835.1	5	108007791	Ir94d	FBgn0259193	uncharacterized protein LOC108007791
3R	NW_023496835.1	5	108007794	CG31515	FBgn0051515	kunitz-type serine protease inhibitor PPTI
3R	NW_023496835.1	5	108015826	CG4393	FBgn0039075	ankyrin repeat and SAM domain-containing protein 1A
3R	NW_023496835.1	5	118877969	CG42828	FBgn0262010	PI-actitoxin-Aeq3a
3R	NW_023496835.1	5	108019550	CG42827	FBgn0262009	kunitz-type serine protease inhibitor C1
3R	NW_023496835.1	5	108007777	CG4408	FBgn0039073	zinc carboxypeptidase
3R	NW_023496835.1	16	108010627	l(2)09851	FBgn0022288	glutamate-rich WD repeat-containing protein 1
